file,id,label,field,status,english,before,current,after,applied,selected,issues
Multiplayer.dbt,10287,_MP_LOBBY_SYNC_LOCAL,chinese,已翻译,Local settings differ from host,本地设置与房主不同,本地设置与房主不同,本地设置与房主不同,yes,no,
Multiplayer.dbt,10288,_MP_LOBBY_SYNC_BLOCK,chinese,已翻译,Cannot start: lobby settings are still syncing.,无法开始: 房间设置还在同步。,无法开始: 房间设置还在同步。,无法开始: 房间设置还在同步。,yes,no,
Multiplayer.dbt,10289,_MP_LOBBY_BTN_SHARE_SAVE,chinese,已翻译,Share Save,分享存档,分享存档,分享存档,yes,no,
Multiplayer.dbt,10290,_MP_LOBBY_MIDJOIN_DISABLED,chinese,已翻译,Mid-game join is currently disabled (unstable).,目前禁止中途加入(不稳定)。,目前禁止中途加入(不稳定)。,目前禁止中途加入(不稳定)。,yes,no,
Multiplayer.dbt,10292,_MP_LOBBY_NO_CLASS_ALLOWED,chinese,已翻译,At least one character class must be allowed to start the game.,至少必须允许一个角色职业才能开始游戏。,至少必须允许一个角色职业才能开始游戏。,至少必须允许一个角色职业才能开始游戏。,yes,no,
Multiplayer.dbt,10293,_MP_LOBBY_SAVE_DYN_HEADER,chinese,已翻译,Player dynasties in this save:,此存档中的玩家世家:,此存档中的玩家世家:,此存档中的玩家世家:,yes,no,
Multiplayer.dbt,10294,_MP_LOBBY_SAVE_DYN_NONE,chinese,已翻译,(no player dynasty info recorded in this save),(此存档没有记录玩家世家信息),(此存档没有记录玩家世家信息),(此存档没有记录玩家世家信息),yes,no,
Multiplayer.dbt,10295,_MP_SYS_SAVE_SELECTION_CANCELLED,chinese,已翻译,Save game selection cancelled,已取消选择存档,已取消选择存档,已取消选择存档,yes,no,
Multiplayer.dbt,10296,_MP_OVERVIEW_TITLE,chinese,已翻译,Steam Multiplayer,Steam 多人模式,Steam 多人模式,Steam 多人模式,yes,no,
Multiplayer.dbt,10297,_MP_OVERVIEW_COL_PLAYER,chinese,已翻译,Player,玩家,玩家,玩家,yes,no,
Multiplayer.dbt,10298,_MP_OVERVIEW_COL_ASSETS,chinese,已翻译,Assets,资产,资产,资产,yes,no,
Multiplayer.dbt,10299,_MP_OVERVIEW_COL_PING,chinese,已翻译,Ping,延迟,延迟,延迟,yes,no,
Multiplayer.dbt,10300,_MP_OVERVIEW_COL_FAMILY,chinese,已翻译,Active Family,当前家族,当前家族,当前家族,yes,no,
Multiplayer.dbt,10301,_MP_OVERVIEW_ROLE_HOST,chinese,已翻译,Host,主机,主机,主机,yes,no,
Multiplayer.dbt,10302,_MP_OVERVIEW_ROLE_YOU,chinese,已翻译,You,你,你,你,yes,no,
Multiplayer.dbt,10303,_MP_OVERVIEW_ROLE_CLIENT,chinese,已翻译,Client,客户端,客户端,客户端,yes,no,
Multiplayer.dbt,10304,_MP_OVERVIEW_UNKNOWN_PLAYER,chinese,已翻译,Player,玩家,玩家,玩家,yes,no,
Multiplayer.dbt,10305,_MP_OVERVIEW_NO_PLAYERS,chinese,已翻译,No Steam players found.,未找到 Steam 玩家。,未找到 Steam 玩家。,未找到 Steam 玩家。,yes,no,
Multiplayer.dbt,10307,_MP_LOBBY_ADV_MARKETITEMS,chinese,已翻译,Market starting goods,市场初始商品,市场初始商品,市场初始商品,yes,no,
Multiplayer.dbt,10308,_MP_LOBBY_ADV_PLEVEL,chinese,已翻译,Player start level,玩家初始等级,玩家初始等级,玩家初始等级,yes,no,
Multiplayer.dbt,10309,_MP_LOBBY_ADV_ALEVEL,chinese,已翻译,AI start level,AI 初始等级,AI 初始等级,AI 初始等级,yes,no,
Multiplayer.dbt,10313,_MP_LOBBY_ADV_AITARGET,chinese,已翻译,AI targets players,AI 以玩家为目标,AI 以玩家为目标,AI 以玩家为目标,yes,no,
Multiplayer.dbt,10315,_MP_LOBBY_ADV_AITRUCE,chinese,已翻译,AI truce (rounds),AI 休战(回合),AI 休战(回合),AI 休战(回合),yes,no,
Multiplayer.dbt,10317,_MP_LOBBY_ADV_TIP_PMONEY,chinese,已翻译,Starting gold for every player dynasty.,每个玩家世家的初始金钱。,每个玩家世家的初始金钱。,每个玩家世家的初始金钱。,yes,no,
Multiplayer.dbt,10318,_MP_LOBBY_ADV_TIP_AMONEY,chinese,已翻译,Starting gold for every AI dynasty.,每个 AI 世家的初始金钱。,每个 AI 世家的初始金钱。,每个 AI 世家的初始金钱。,yes,no,
Multiplayer.dbt,10319,_MP_LOBBY_ADV_TIP_PTITLE,chinese,已翻译,Nobility title every player starts with.,每个玩家开始时的贵族头衔。,每个玩家开始时的贵族头衔。,每个玩家开始时的贵族头衔。,yes,no,
Multiplayer.dbt,10320,_MP_LOBBY_ADV_TIP_ATITLE,chinese,已翻译,Nobility title every AI dynasty starts with.,每个 AI 世家开始时的贵族头衔。,每个 AI 世家开始时的贵族头衔。,每个 AI 世家开始时的贵族头衔。,yes,no,
Multiplayer.dbt,10321,_MP_LOBBY_ADV_TIP_CLASSES,chinese,已翻译,Click a class to forbid or allow it. Forbidden classes cannot be picked at character creation.,点击职业以禁止或允许。被禁止的职业无法在创建角色时选择。,点击职业以禁止或允许。被禁止的职业无法在创建角色时选择。,点击职业以禁止或允许。被禁止的职业无法在创建角色时选择。,yes,no,
Multiplayer.dbt,10322,_MP_LOBBY_ADV_TIP_PRES,chinese,已翻译,Buildings every player dynasty starts the game with.,每个玩家世家开始游戏时拥有的建筑物。,每个玩家世家开始游戏时拥有的建筑物。,每个玩家世家开始游戏时拥有的建筑物。,yes,no,
Multiplayer.dbt,10323,_MP_LOBBY_ADV_TIP_ARES,chinese,已翻译,Buildings every AI dynasty starts the game with.,每个 AI 世家开始游戏时拥有的建筑物。,每个 AI 世家开始游戏时拥有的建筑物。,每个 AI 世家开始游戏时拥有的建筑物。,yes,no,
Multiplayer.dbt,10324,_MP_LOBBY_ADV_TIP_MARKET,chinese,已翻译,How well stocked the town markets are at game start.,游戏开始时城镇市场的库存量。,游戏开始时城镇市场的库存量。,游戏开始时城镇市场的库存量。,yes,no,
Multiplayer.dbt,10325,_MP_LOBBY_ADV_TIP_PLEVEL,chinese,已翻译,Character level every player's first character starts with. Each level grants skill points to spend.,每个玩家的第一个角色开始时的等级。每个等级都会提供可分配的技能点。,每个玩家的第一个角色开始时的等级。每个等级都会提供可分配的技能点。,每个玩家的第一个角色开始时的等级。每个等级都会提供可分配的技能点。,yes,no,
Multiplayer.dbt,10326,_MP_LOBBY_ADV_TIP_ALEVEL,chinese,已翻译,Character level the leaders of AI dynasties start with.,AI 世家首领开始时的角色等级。,AI 世家首领开始时的角色等级。,AI 世家首领开始时的角色等级。,yes,no,
Tables.dbt,1,,name,已翻译,Text,文本,文本,文本,yes,no,
Tables.dbt,2,,name,已翻译,Achievements,成就,成就,成就,yes,no,
Tables.dbt,3,,name,已翻译,Multiplayer,多人模式,多人模式,多人模式,yes,no,
TipLabels.dbt,1,_TIP_BUILDING_PRICE_LABEL_+0,english,已翻译,Price:,价格:,价格:,价格:,yes,no,
TipLabels.dbt,2,_TIP_BUILDING_LEVEL_LABEL_+0,english,已翻译,Level:,等级:,等级:,等级:,yes,no,
TipLabels.dbt,4,_TIP_BUILDING_HP_UNIT_+0,english,已翻译,HP,生命值,生命值,生命值,yes,no,
TipLabels.dbt,5,_TIP_TITLE_PRICE_LABEL_+0,english,已翻译,Price:,价格:,价格:,价格:,yes,no,
TipLabels.dbt,6,_TIP_TITLE_IMPFAME_LABEL_+0,english,已翻译,Imperial fame required:,需要国家名声:,需要国家名声:,需要国家名声:,yes,no,
TipLabels.dbt,9,_TIP_PENALTY_SEVERITY_LABEL_+0,english,已翻译,Severity:,判决严峻度:,判决严峻度:,判决严峻度:,yes,no,
TipLabels.dbt,11,_TIP_LAW_EVIDENCE_+0,english,已翻译,Counts as evidence in court,在法院中视为证据,在法院中视为证据,在法院中视为证据,yes,no,
TipLabels.dbt,12,_TIP_LAW_DURATION_LABEL_+0,english,已翻译,Duration:,有效时间:,有效时间:,有效时间:,yes,no,
TipLabels.dbt,13,_TIP_LAW_DURATION_UNIT_+0,english,已翻译,days,天,天,天,yes,no,
TipLabels.dbt,14,_TIP_ABILITY_SKILLREQ_LABEL_+0,english,已翻译,Requires skill:,需要技能:,需要技能:,需要技能:,yes,no,
TipLabels.dbt,15,_TIP_ABILITY_SKILLREQ_LEVEL_+0,english,已翻译,level,等级,等级,等级,yes,no,
TipLabels.dbt,16,_TIP_ABILITY_MINLEVEL_LABEL_+0,english,已翻译,Minimum character level:,最小角色等级:,最小角色等级:,最小角色等级:,yes,no,
TipLabels.dbt,18,_TIP_OFFICE_LEVEL_LABEL_+0,english,已翻译,Requires settlement level,需要拓居地等级,需要拓居地等级,需要拓居地等级,yes,no,
TipLabels.dbt,19,_TIP_OFFICE_LEVEL_AT_LEVEL_+0,english,已翻译,is at level,等级为,等级为,等级为,yes,no,
TipLabels.dbt,20,_TIP_OFFICE_LEVEL_ONLY_LEVEL_+0,english,已翻译,is only level,只有等级,只有等级,只有等级,yes,no,
TipLabels.dbt,21,_TIP_OFFICE_LEVEL_NOT_YET_+0,english,已翻译,not yet available,尚未可用,尚未可用,尚未可用,yes,no,
TipLabels.dbt,22,_TIP_OFFICE_INCOME_LABEL_+0,english,已翻译,Income:,收入：,收入：,收入：,yes,no,
